"region";"subregion";"key";"value"
"Europe";"Western Europe";"Alemania";3.6
"Americas";"South America";"Argentina";8.5
"Oceania";"Australia and New Zealand";"Australia";5.5
"Americas";"South America";"Brazil";11.8
"Americas";"Northern America";"Canada";5.9
"Asia";"Eastern Asia";"China";3.9
"Europe";"Southern Europe";"España";16.5
"Americas";"Northern America";"Estados Unidos";4.1
"Europe";"Western Europe";"Francia";9
"Europe";"Southern Europe";"Grecia";20.9
"Europe";"Southern Europe";"Italia";10.9
"Asia";"Eastern Asia";"Japon";2.8
"Americas";"Central America";"Mexico";3.1
"Europe";"Southern Europe";"Portugal";7.9
"Europe";"Northern Europe";"Reino Unido";4.4
"Europe";"Eastern Europe";"Rusia";5.1
"Asia";"Western Asia";"Turquia";9.9
"Africa";"Southern Africa";"Sudafrica";26.7